,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.1,0.01,10000,0.5823389245775772,48.357860803604126,49.05666751309722
1,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.125,0.01,10000,0.5953516257082896,24.748550415039062,25.46297236588901
2,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.15,0.01,10000,0.6751618222386,31.489576816558838,32.299771003245155
3,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.175,0.01,10000,0.7088998770474113,81.27993083000183,82.13061068245872
4,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.2,0.01,10000,0.6984308513790012,71.73071694374084,72.56883396539564
5,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.225,0.01,10000,0.7496630779543985,69.83563256263733,70.73522825618261
6,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.01,10000,0.8279129778861183,71.26329159736633,72.25678717082968
7,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.275,0.01,10000,0.8401698785817935,56.09975242614746,57.10795628044561
8,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.3,0.01,10000,0.8882729989475848,85.37798500061035,86.44391259934746
9,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.325,0.01,10000,0.9537430148339467,63.38210082054138,64.52659243834212
10,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.35,0.01,10000,1.0067978801806277,104.15380764007568,105.36196509629244
11,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.375,0.01,10000,1.0717684780955175,119.11825037002563,120.40437254374025
12,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.4,0.01,10000,1.1549795001936367,61.65339136123657,63.03936676146893
13,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.425,0.01,10000,1.2262250259672527,90.15077137947083,91.62224141063153
