,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.4,0.11,7700,0.9605185297353351,0.2751338481903076,1.4277560838727097
1,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.175,0.15,4900,0.6983532899410676,0.4452946186065674,1.2833185665358484
2,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.225,0.05,2500,2.3139788815723037,2.0093727111816406,4.786147369068405
3,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.375,0.15,3900,0.08628788643089891,0.5641303062438965,0.6676757699609752
4,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.1,0.21,4100,0.6138510644792099,0.5493998527526855,1.2860211301277373
5,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.375,0.27,6500,1.091061037863863,0.5851497650146484,1.894423010451284
6,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.425,0.01,4100,1.2202483804877389,9.62684965133667,11.091147707921957
7,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.325,0.15,2500,1.9852117138303136,0.5180869102478027,2.900340966844179
8,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.475,0.17,1900,0.7170641861407709,1.0586059093475342,1.9190829327164591
9,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.325,0.27,5100,1.4386785589571467,1.5779657363891602,3.304380007137736
10,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.3,0.03,4100,0.3321169239520927,1.763554334640503,2.162094643383014
11,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.35,0.11,3100,0.15545377054503362,3.286247730255127,3.472792254909167
12,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.5,0.31,4500,0.9290591048562256,1.6784734725952148,2.7933443984226853
13,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.125,0.23,6700,0.3362799286224316,2.3113675117492676,2.7149034260961855
