,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(105, 0.25, 'RNDM', 0.0027397260273972603, 0.5557112987761457)",0.237347,0.080041,6384,0.006902268328975225,0.5559911727905273,0.5642738947852977
1,"(105, 0.25, 'RNDM', 0.005479452054794521, 0.7903190752049838)",0.237347,0.080041,6384,0.13972547858036277,0.5800137519836426,0.7476843262800779
2,"(105, 0.25, 'RNDM', 0.00821917808219178, 0.9720924102282638)",0.237347,0.080041,6384,0.002505919959357339,0.9983959197998047,1.0014030237510334
3,"(105, 0.25, 'RNDM', 0.010958904109589041, 1.126514509425462)",0.237347,0.080041,6384,0.05599484216769346,0.7671847343444824,0.8343785449457146
4,"(105, 0.25, 'RNDM', 0.0136986301369863, 1.2634562767994524)",0.237347,0.080041,6384,0.013152130450526878,1.0099236965179443,1.0257062530585765
5,"(105, 0.25, 'RNDM', 0.01643835616438356, 1.387980210474133)",0.237347,0.080041,6384,0.1594605022264164,1.0399508476257324,1.231303450297432
6,"(105, 0.25, 'RNDM', 0.019178082191780823, 1.503093723541248)",0.237347,0.080041,6384,0.0009702938800970617,1.116020679473877,1.1171850321299934
7,"(105, 0.25, 'RNDM', 0.021917808219178082, 1.6107563488184695)",0.237347,0.080041,6384,0.35515415059896394,1.0189321041107178,1.4451170848294745
8,"(105, 0.25, 'RNDM', 0.024657534246575342, 1.7123292078963033)",0.237347,0.080041,6384,0.13549467946064064,1.2613794803619385,1.4239730957147072
9,"(105, 0.25, 'RNDM', 0.0273972602739726, 1.8088033435911441)",0.237347,0.080041,6384,0.20405299071999838,1.4155211448669434,1.6603847337309414
10,"(105, 0.25, 'RNDM', 0.030136986301369864, 1.900926927094062)",0.237347,0.080041,6384,0.33400600049368556,1.0762197971343994,1.477026997726822
11,"(105, 0.25, 'RNDM', 0.03287671232876712, 1.9892812237951745)",0.237347,0.080041,6384,0.06706290057359232,1.7491040229797363,1.8295795036680471
12,"(105, 0.25, 'RNDM', 0.03561643835616438, 2.0743284921240814)",0.237347,0.080041,6384,0.035521114273335375,1.8420913219451904,1.884716659073193
13,"(105, 0.25, 'RNDM', 0.038356164383561646, 2.156443536389901)",0.237347,0.080041,6384,0.15300559120663104,1.1375856399536133,1.3211923494015705
