,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(105, 0.1, 'RNDM', 0.410958904109589, 3.9310048469475944)",0.237347,0.080041,6384,0.6460253998769829,0.4546244144439697,1.2298548942963492
1,"(105, 0.1025, 'RNDM', 0.410958904109589, 3.993785735386723)",0.237347,0.080041,6384,0.10198629833921968,0.9310033321380615,1.053386890145125
2,"(105, 0.105, 'RNDM', 0.410958904109589, 4.056731630996268)",0.237347,0.080041,6384,0.29356906085721857,1.1942429542541504,1.5465258272828126
3,"(105, 0.1075, 'RNDM', 0.410958904109589, 4.119831254796445)",0.237347,0.080041,6384,0.20044120676675803,0.3385183811187744,0.5790478292388841
4,"(105, 0.11, 'RNDM', 0.410958904109589, 4.183074306505787)",0.237347,0.080041,6384,0.23940880506795548,1.1630055904388428,1.4502961565203893
5,"(105, 0.1125, 'RNDM', 0.410958904109589, 4.246451361190999)",0.237347,0.080041,6384,0.3533425371010459,0.863732099533081,1.287743144054336
6,"(105, 0.115, 'RNDM', 0.410958904109589, 4.309953778623118)",0.237347,0.080041,6384,0.2518030167880623,0.8847513198852539,1.1869149400309287
7,"(105, 0.1175, 'RNDM', 0.410958904109589, 4.373573623571467)",0.237347,0.080041,6384,0.1895812185317025,1.377202033996582,1.604699496234625
8,"(105, 0.12, 'RNDM', 0.410958904109589, 4.437303595539824)",0.237347,0.080041,6384,0.3968377988863754,1.6294896602630615,2.105695018926712
9,"(105, 0.1225, 'RNDM', 0.410958904109589, 4.501136966676576)",0.237347,0.080041,6384,0.0035531798699786066,1.3752577304840088,1.379521546327983
10,"(105, 0.125, 'RNDM', 0.410958904109589, 4.5650675267793375)",0.237347,0.080041,6384,0.19569228779667114,1.4663407802581787,1.7011715256141842
11,"(105, 0.1275, 'RNDM', 0.410958904109589, 4.629089534473614)",0.237347,0.080041,6384,0.04687071054380976,1.5023739337921143,1.5586187864446859
12,"(105, 0.13, 'RNDM', 0.410958904109589, 4.693197673777249)",0.237347,0.080041,6384,0.10667007602693257,1.4813547134399414,1.6093588046722604
13,"(105, 0.1325, 'RNDM', 0.410958904109589, 4.757387015375315)",0.237347,0.080041,6384,0.7884884044171256,2.0248517990112305,2.971037884311781
14,"(105, 0.135, 'RNDM', 0.410958904109589, 4.821652982023522)",0.237347,0.080041,6384,0.6181853249652072,2.1689839363098145,2.9108063262680632
15,"(105, 0.1375, 'RNDM', 0.410958904109589, 4.885991317579261)",0.237347,0.080041,6384,0.6472775558593229,1.606468915939331,2.3832019829705184
16,"(105, 0.14, 'RNDM', 0.410958904109589, 4.950398059226686)",0.237347,0.080041,6384,0.11082079747364748,2.3831796646118164,2.5161646215801934
17,"(105, 0.1425, 'RNDM', 0.410958904109589, 5.014869512520143)",0.237347,0.080041,6384,0.4785918221759866,1.6665234565734863,2.2408336431846703
18,"(105, 0.145, 'RNDM', 0.410958904109589, 5.079402228919804)",0.237347,0.080041,6384,0.7703202787730863,2.1489651203155518,3.0733494548432554
19,"(105, 0.1475, 'RNDM', 0.410958904109589, 5.143992985535519)",0.237347,0.080041,6384,0.33623752196618284,2.3571560382843018,2.760641064643721
20,"(105, 0.15, 'RNDM', 0.410958904109589, 5.208638766830816)",0.237347,0.080041,6384,0.5822213108363368,2.3771743774414062,3.0758399504450105
21,"(105, 0.1525, 'RNDM', 0.410958904109589, 5.273336748070541)",0.237347,0.080041,6384,1.5029845867571323,2.756521224975586,4.560102729084145
22,"(105, 0.155, 'RNDM', 0.410958904109589, 5.3380842803221284)",0.237347,0.080041,6384,0.30153342196301747,2.441232681274414,2.803072787630035
23,"(105, 0.1575, 'RNDM', 0.410958904109589, 5.402878876843829)",0.237347,0.080041,6384,0.2927539280751459,2.6904609203338623,3.0417656340240375
24,"(105, 0.16, 'RNDM', 0.410958904109589, 5.467718200713065)",0.237347,0.080041,6384,0.3276688938917349,2.7615256309509277,3.1547283036210096
25,"(105, 0.1625, 'RNDM', 0.410958904109589, 5.532600053565801)",0.237347,0.080041,6384,0.5590677308431564,2.654428720474243,3.325309997486031
26,"(105, 0.165, 'RNDM', 0.410958904109589, 5.59752236533253)",0.237347,0.080041,6384,0.45808744654995426,2.5903689861297607,3.140073921989706
27,"(105, 0.1675, 'RNDM', 0.410958904109589, 5.662483184870084)",0.237347,0.080041,6384,0.5117481015227057,3.272993803024292,3.887091524851539
28,"(105, 0.17, 'RNDM', 0.410958904109589, 5.727480671399505)",0.237347,0.080041,6384,0.04783500199495361,2.9927377700805664,3.0501397724745107
29,"(105, 0.1725, 'RNDM', 0.410958904109589, 5.792513086670603)",0.237347,0.080041,6384,0.23726529685426279,2.5953736305236816,2.880091986748797
30,"(105, 0.175, 'RNDM', 0.410958904109589, 5.857578787782501)",0.237347,0.080041,6384,0.8047570451247399,2.6484222412109375,3.6141306953606254
31,"(105, 0.1775, 'RNDM', 0.410958904109589, 5.922676220597211)",0.237347,0.080041,6384,1.3051424227896176,2.729496717453003,4.295667624800544
32,"(105, 0.18, 'RNDM', 0.410958904109589, 5.987803913689987)",0.237347,0.080041,6384,0.10715610917992446,2.655428886413574,2.7840162174294836
33,"(105, 0.1825, 'RNDM', 0.410958904109589, 6.052960472786339)",0.237347,0.080041,6384,0.5430507187744675,2.4822707176208496,3.1339315801502106
34,"(105, 0.185, 'RNDM', 0.410958904109589, 6.11814457564077)",0.237347,0.080041,6384,0.3419900703819154,2.4472382068634033,2.8576262913217017
35,"(105, 0.1875, 'RNDM', 0.410958904109589, 6.183354967316937)",0.237347,0.080041,6384,0.3828268721281072,2.6584317684173584,3.117824014971087
36,"(105, 0.19, 'RNDM', 0.410958904109589, 6.248590455833117)",0.237347,0.080041,6384,0.5523447146265141,2.523308277130127,3.186121934681944
37,"(105, 0.1925, 'RNDM', 0.410958904109589, 6.313849908140597)",0.237347,0.080041,6384,0.908702559702018,2.2250349521636963,3.3154780238061177
38,"(105, 0.195, 'RNDM', 0.410958904109589, 6.379132246405575)",0.237347,0.080041,6384,1.9366476211759966,3.0167596340179443,5.34073677942914
39,"(105, 0.1975, 'RNDM', 0.410958904109589, 6.44443644456841)",0.237347,0.080041,6384,0.52141445441959,2.9426918029785156,3.568389148282024
40,"(105, 0.2, 'RNDM', 0.410958904109589, 6.509761525156449)",0.237347,0.080041,6384,0.3198862651021184,3.160891056060791,3.544754574183333
41,"(105, 0.2025, 'RNDM', 0.410958904109589, 6.575106556328663)",0.237347,0.080041,6384,1.0980338267855476,2.847604751586914,4.165245343729572
42,"(105, 0.205, 'RNDM', 0.410958904109589, 6.640470649133228)",0.237347,0.080041,6384,0.40873768978163927,3.0597987174987793,3.5502839452367465
43,"(105, 0.2075, 'RNDM', 0.410958904109589, 6.705852954959909)",0.237347,0.080041,6384,0.8441226347812592,2.7014708518981934,3.7144180136357043
44,"(105, 0.21, 'RNDM', 0.410958904109589, 6.771252663171573)",0.237347,0.080041,6384,0.5965413857829764,2.838594913482666,3.5544445764222377
45,"(105, 0.2125, 'RNDM', 0.410958904109589, 6.8366689989002865)",0.237347,0.080041,6384,0.30374337117015937,2.722490072250366,3.0869821176545575
46,"(105, 0.215, 'RNDM', 0.410958904109589, 6.902101220994943)",0.237347,0.080041,6384,1.854045370194994,2.9190399646759033,5.143894408909896
47,"(105, 0.2175, 'RNDM', 0.410958904109589, 6.967548620108218)",0.237347,0.080041,6384,0.35398156516537593,2.8729968070983887,3.2977746852968397
48,"(105, 0.22, 'RNDM', 0.410958904109589, 7.0330105169121)",0.237347,0.080041,6384,0.6567736734367626,3.2103049755096436,3.998433383633759
49,"(105, 0.2225, 'RNDM', 0.410958904109589, 7.098486260432161)",0.237347,0.080041,6384,0.05935707840404181,2.8940162658691406,2.9652447599539906
50,"(105, 0.225, 'RNDM', 0.410958904109589, 7.163975226491125)",0.237347,0.080041,6384,0.0507116987600531,2.8890116214752197,2.9498656599872835
51,"(105, 0.2275, 'RNDM', 0.410958904109589, 7.2294768162539)",0.237347,0.080041,6384,1.3091056696513368,2.921065092086792,4.491991895668396
52,"(105, 0.23, 'RNDM', 0.410958904109589, 7.294990454866074)",0.237347,0.080041,6384,0.8511761636905497,2.714852809906006,3.736264206334665
53,"(105, 0.2325, 'RNDM', 0.410958904109589, 7.360515590179276)",0.237347,0.080041,6384,0.6992918458151394,3.0772082805633545,3.916358495541522
54,"(105, 0.235, 'RNDM', 0.410958904109589, 7.426051691556722)",0.237347,0.080041,6384,1.038745608074323,2.824976682662964,4.071471412352151
55,"(105, 0.2375, 'RNDM', 0.410958904109589, 7.491598248753398)",0.237347,0.080041,6384,0.4560036488870507,3.4715688228607178,4.018773201525178
56,"(105, 0.24, 'RNDM', 0.410958904109589, 7.55715477086536)",0.237347,0.080041,6384,1.5216631399599407,2.562737464904785,4.388733232856714
57,"(105, 0.2425, 'RNDM', 0.410958904109589, 7.622720785343169)",0.237347,0.080041,6384,0.11010651574080832,2.4866678714752197,2.61879569036419
58,"(105, 0.245, 'RNDM', 0.410958904109589, 7.688295837065262)",0.237347,0.080041,6384,1.4395986850287184,3.0181655883789062,4.745684010413369
59,"(105, 0.2475, 'RNDM', 0.410958904109589, 7.7538794874664845)",0.237347,0.080041,6384,0.7428466039861554,3.44980525970459,4.341221184487976
60,"(105, 0.25, 'RNDM', 0.410958904109589, 7.819471313718751)",0.237347,0.080041,6384,2.1718673878619086,2.55873441696167,5.16497528239596
61,"(105, 0.2525, 'RNDM', 0.410958904109589, 7.885070907959516)",0.237347,0.080041,6384,0.06554793400699932,3.1512880325317383,3.2299455533401376
62,"(105, 0.255, 'RNDM', 0.410958904109589, 7.950677876565365)",0.237347,0.080041,6384,0.42445791203127037,2.976127862930298,3.4854773573678224
63,"(105, 0.2575, 'RNDM', 0.410958904109589, 8.016291839467385)",0.237347,0.080041,6384,0.6859069572370151,2.950103998184204,3.773192346868622
64,"(105, 0.26, 'RNDM', 0.410958904109589, 8.081912429505593)",0.237347,0.080041,6384,1.3987288897897638,2.818227529525757,4.496702197273473
65,"(105, 0.2625, 'RNDM', 0.410958904109589, 8.147539291820053)",0.237347,0.080041,6384,0.801166147065322,2.6588258743286133,3.6202252508069996
66,"(105, 0.265, 'RNDM', 0.410958904109589, 8.213172083275929)",0.237347,0.080041,6384,0.36076361821064395,2.8768413066864014,3.309757648539174
67,"(105, 0.2675, 'RNDM', 0.410958904109589, 8.278810471920572)",0.237347,0.080041,6384,0.1366478011815122,2.8798437118530273,3.043821073270842
68,"(105, 0.27, 'RNDM', 0.410958904109589, 8.344454136470539)",0.237347,0.080041,6384,1.5892489242026748,2.573564052581787,4.4806627616249965
69,"(105, 0.2725, 'RNDM', 0.410958904109589, 8.410102765826437)",0.237347,0.080041,6384,1.8361083623977361,3.043994665145874,5.247324700023157
70,"(105, 0.275, 'RNDM', 0.410958904109589, 8.475756058614095)",0.237347,0.080041,6384,0.6632964110075719,2.8077783584594727,3.603734051668559
71,"(105, 0.2775, 'RNDM', 0.410958904109589, 8.541413722750384)",0.237347,0.080041,6384,0.12440097925443716,2.8564534187316895,3.005734593837014
72,"(105, 0.28, 'RNDM', 0.410958904109589, 8.607075475031962)",0.237347,0.080041,6384,0.5671814597566005,2.6802923679351807,3.3609101196431013
73,"(105, 0.2825, 'RNDM', 0.410958904109589, 8.672741040745642)",0.237347,0.080041,6384,0.8380385666457961,2.699310541152954,3.7049568211279094
74,"(105, 0.285, 'RNDM', 0.410958904109589, 8.738410153299363)",0.237347,0.080041,6384,0.3350526224056143,2.7573628425598145,3.1594259894465515
75,"(105, 0.2875, 'RNDM', 0.410958904109589, 8.804082553871908)",0.237347,0.080041,6384,0.9024643368096452,3.1096856594085693,4.192642863580144
76,"(105, 0.29, 'RNDM', 0.410958904109589, 8.86975799108091)",0.237347,0.080041,6384,0.5198592215541744,2.7733781337738037,3.397209199638813
77,"(105, 0.2925, 'RNDM', 0.410958904109589, 8.935436220667427)",0.237347,0.080041,6384,1.9131589134487932,3.1797375679016113,5.475528264040163
78,"(105, 0.295, 'RNDM', 0.410958904109589, 9.001117005196797)",0.237347,0.080041,6384,0.3599563926420135,2.8774614334106445,3.3094091045810607
79,"(105, 0.2975, 'RNDM', 0.410958904109589, 9.06680011377415)",0.237347,0.080041,6384,1.8018793163598747,3.0415992736816406,5.20385445331349
80,"(105, 0.3, 'RNDM', 0.410958904109589, 9.132485321774183)",0.237347,0.080041,6384,1.2547141904919847,2.9805424213409424,4.486199449931324
81,"(105, 0.3025, 'RNDM', 0.410958904109589, 9.198172410584313)",0.237347,0.080041,6384,0.12237894567410024,3.076631546020508,3.223486280829428
82,"(105, 0.305, 'RNDM', 0.410958904109589, 9.263861167360105)",0.237347,0.080041,6384,0.7129665134521908,3.0235815048217773,3.8791413209644063
83,"(105, 0.3075, 'RNDM', 0.410958904109589, 9.329551384792936)",0.237347,0.080041,6384,0.5326634586437642,2.596191167831421,3.235387318203938
84,"(105, 0.31, 'RNDM', 0.410958904109589, 9.395242860888402)",0.237347,0.080041,6384,2.2875181168484175,2.919487237930298,5.664508978148399
85,"(105, 0.3125, 'RNDM', 0.410958904109589, 9.460935398755623)",0.237347,0.080041,6384,0.5591889868391906,3.069624423980713,3.7406512081877414
86,"(105, 0.315, 'RNDM', 0.410958904109589, 9.526628806406372)",0.237347,0.080041,6384,2.113499818417134,2.6292214393615723,5.1654212214621325
